planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,sumMatched,nameMatched,ambiguous,orphan,multiSum,inferred,inheritedSub,headcount,comboMatched
"5257011710","科技發展工作","1,099,362","02","健康醫藥生技轉譯臨床推動計畫","","","","","未歸戶說明","","1.辦理穩健醫療及產業整合推進醫療健康產業創新與鏈結國際計畫，計列27,962千元（含資本門500千元）（對國內團體之捐助）。","","","","","","true","","","","",""
"5257011710","科技發展工作","1,099,362","02","健康醫藥生技轉譯臨床推動計畫","","","","","未歸戶說明","","2.捐助財團法人醫藥品查驗中心，執行「健康大數據之真實世界數據加值應用計畫」，計列11,000千元；辦理健康大數據治理應用協調規劃，計列34,000千元，合共45,000千元（對國內團體之捐助）。","","","","","","true","","","","",""
"5257011710","科技發展工作","1,099,362","02","健康醫藥生技轉譯臨床推動計畫","","","","","未歸戶說明","","3.捐助財團法人醫藥品查驗中心，執行「衛生福利科技政策醫療科技評估計畫」，計列12,600千元；執行「在宅醫療科技推動計畫－建構智慧化在宅醫療生態系」，計列25,000千元，合共37,600千元（對國內團體之捐助）。","","","","","","true","","","","",""
"5257011710","科技發展工作","1,099,362","03","社會福利及統計應用計畫","","","","","分支計畫","57973","","","","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","03","社會福利及統計應用計畫","2000","業務費","","","用途別一級","25106","","","","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","03","社會福利及統計應用計畫","2000","業務費","2009","通訊費","用途別二級","18","1.辦理社會福利線上申請與實證決策模式計畫之性別暴力防治子計畫等，計列8,916千元（含資本門1,216千元）（通訊費18千元、按日按件計資酬金59千元、委辦費7,523千元、一般事務費65千元、國內旅費35千元、資訊軟硬體設備費1,216千元）。","1","true","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","03","社會福利及統計應用計畫","2000","業務費","2018","資訊服務費","用途別二級","6361","2.辦理社會工作人員智慧決策行動平臺計畫及社會福利資源整合系統智慧轉型計畫相關工作，計列29,057千元（含資本門22,651千元）（資訊服務費6,361千元、按日按件計資酬金30千元、國內旅費15千元、資訊軟硬體設備費22,651千元）。","2","","","true","","","","","","",""
"5257011710","科技發展工作","1,099,362","03","社會福利及統計應用計畫","","","","","未歸戶說明","","3.辦理健康大數據專區服務管理專案計畫，購置精準醫療工作站等相關設備，計列20,000千元（含資本門9,000千元）（委辦費11,000千元、資訊軟硬體設備費9,000千元）。","","","","","","true","","","","",""
"5257011710","科技發展工作","1,099,362","03","社會福利及統計應用計畫","2000","業務費","2036","按日按件計資酬金","用途別二級","89","","","","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","03","社會福利及統計應用計畫","2000","業務費","2039","委辦費","用途別二級","18523","","","","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","03","社會福利及統計應用計畫","2000","業務費","2054","一般事務費","用途別二級","65","1.辦理社會福利線上申請與實證決策模式計畫之性別暴力防治子計畫等，計列8,916千元（含資本門1,216千元）（通訊費18千元、按日按件計資酬金59千元、委辦費7,523千元、一般事務費65千元、國內旅費35千元、資訊軟硬體設備費1,216千元）。","1","true","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","03","社會福利及統計應用計畫","2000","業務費","2072","國內旅費","用途別二級","50","","","","","","","","","","","",""
