planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,nameMatched,inheritedSub
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","2000","業務費","2018","資訊服務費","用途別二級","8100","2.本年度編列預算384,294千元，辦理工作項目如下：(1)業務費136,909千元：<1>資訊服務費8,100千元：辦理道安資訊查詢網更新維護費暨道安事故統計數據介接作業經費。<2>其他業務租金120千元：影印機租金等。<3>按日按件計資酬金2,300千元：中央道安會報、道安考評及專案視導等會議外聘專家學者出席費等。<4>物品100千元。<5>一般事務費125,267千元：#1.因應交通法令修正辦理深化民眾交通安全法規知識媒體政策及業務宣導費36,500千元。","1","true","",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","2000","業務費","2021","其他業務租金","用途別二級","120","2.本年度編列預算384,294千元，辦理工作項目如下：(1)業務費136,909千元：<1>資訊服務費8,100千元：辦理道安資訊查詢網更新維護費暨道安事故統計數據介接作業經費。<2>其他業務租金120千元：影印機租金等。<3>按日按件計資酬金2,300千元：中央道安會報、道安考評及專案視導等會議外聘專家學者出席費等。<4>物品100千元。<5>一般事務費125,267千元：#1.因應交通法令修正辦理深化民眾交通安全法規知識媒體政策及業務宣導費36,500千元。","1","true","",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","2000","業務費","2036","按日按件計資酬金","用途別二級","2300","2.本年度編列預算384,294千元，辦理工作項目如下：(1)業務費136,909千元：<1>資訊服務費8,100千元：辦理道安資訊查詢網更新維護費暨道安事故統計數據介接作業經費。<2>其他業務租金120千元：影印機租金等。<3>按日按件計資酬金2,300千元：中央道安會報、道安考評及專案視導等會議外聘專家學者出席費等。<4>物品100千元。<5>一般事務費125,267千元：#1.因應交通法令修正辦理深化民眾交通安全法規知識媒體政策及業務宣導費36,500千元。","1","true","",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","2000","業務費","2051","物品","用途別二級","100","2.本年度編列預算384,294千元，辦理工作項目如下：(1)業務費136,909千元：<1>資訊服務費8,100千元：辦理道安資訊查詢網更新維護費暨道安事故統計數據介接作業經費。<2>其他業務租金120千元：影印機租金等。<3>按日按件計資酬金2,300千元：中央道安會報、道安考評及專案視導等會議外聘專家學者出席費等。<4>物品100千元。<5>一般事務費125,267千元：#1.因應交通法令修正辦理深化民眾交通安全法規知識媒體政策及業務宣導費36,500千元。","1","true","true",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","2000","業務費","2054","一般事務費","用途別二級","125267","2.本年度編列預算384,294千元，辦理工作項目如下：(1)業務費136,909千元：<1>資訊服務費8,100千元：辦理道安資訊查詢網更新維護費暨道安事故統計數據介接作業經費。<2>其他業務租金120千元：影印機租金等。<3>按日按件計資酬金2,300千元：中央道安會報、道安考評及專案視導等會議外聘專家學者出席費等。<4>物品100千元。<5>一般事務費125,267千元：#1.因應交通法令修正辦理深化民眾交通安全法規知識媒體政策及業務宣導費36,500千元。#2.強化機車駕駛人風險意識辦理主題性專案媒體政策及業務宣導費10,000千元。#3.形塑停讓文化以落實車輛停讓行人及行人正確用路觀念媒體政策及業務宣導費15,000千元。#4.推展其他用路族群(兒少、高齡等)交通安全辦理專案媒體政策及業務宣導費14,500千元。#5.交通安全入口網站維運及社群行銷7,000千元。(含媒體政策及業務宣導費2,500千元)。#6.路老師高齡交通安全教育及精進兒少交通安全意識教育教材16,385千元。","1","","","true"
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","2000","業務費","2072","國內旅費","用途別二級","900","#7.辦理道路交通安全觀測指標與主題性專案調查，及春節與連續假期期間慰勞相關交通管理、執法與路況報導人員之加菜金，以及中央道安會報各項會議準備工作等費用25,882千元。<6>國內旅費900千元：道安考評及相關會議等所需出差旅費。<7>國外旅費122千元：參加國際道路安全會議等所需旅費。","8","true","",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","2000","業務費","2078","國外旅費","用途別二級","122","#7.辦理道路交通安全觀測指標與主題性專案調查，及春節與連續假期期間慰勞相關交通管理、執法與路況報導人員之加菜金，以及中央道安會報各項會議準備工作等費用25,882千元。<6>國內旅費900千元：道安考評及相關會議等所需出差旅費。<7>國外旅費122千元：參加國際道路安全會議等所需旅費。","8","true","",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","3000","設備及投資","","","用途別一級","4300","(2)設備及投資-資訊軟硬體設備費及雜項設備費4,300千元：<1>建置路老師培訓網。<2>持續開發事故分析功能及升級作業系統。<3>因應道安資訊查詢網大量查詢分析需求，擴充硬體設備。<4>汰購一般辦公設備等。","9","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","3000","設備及投資","3030","資訊軟硬體設備費","用途別二級","4200","","","","",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","3000","設備及投資","3035","雜項設備費","用途別二級","100","","","","",""
