planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,nameMatched,descShared,inferred,headcount,inheritedSub,ambiguous,orphan,multiSum,sumMatched
"5251011200","農業科技研究發展","1,750,265","10","作物品種改良與蒐集","2000","業務費","","","用途別一級","9961","1.業務費9,961千元，係辦理蝴蝶蘭、文心蘭、萬代蘭、火鶴花及石竹等花卉品種選育計畫。","2","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","10","作物品種改良與蒐集","2000","業務費","2006","水電費","用途別二級","1710","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","10","作物品種改良與蒐集","2000","業務費","2033","約用人員酬金","用途別二級","5840","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","10","作物品種改良與蒐集","2000","業務費","2051","物品","用途別二級","981","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","10","作物品種改良與蒐集","2000","業務費","2054","一般事務費","用途別二級","1341","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","10","作物品種改良與蒐集","2000","業務費","2072","國內旅費","用途別二級","89","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","10","作物品種改良與蒐集","3000","設備及投資","","","用途別一級","90","2.設備及投資90千元，係購置實驗數據資料蒐集分析所需之設備。","3","true","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","10","作物品種改良與蒐集","3000","設備及投資","3035","雜項設備費","用途別二級","90","2.設備及投資90千元，係購置實驗數據資料蒐集分析所需之設備。","3","","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","","","","","分支計畫","16330","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","2000","業務費","","","用途別一級","15710","1.業務費15,710千元，係辦理蘭科植物開花生理基礎研究與應用，蝴蝶蘭成熟大苗替代介質驗證與技術擴散，切花貯後品質改善及監測技術之開發，臺灣外銷花卉採後保值技術研究，循環資材栽培洋桔梗之應用研究，應用數位盤查工具進行主要外銷花卉碳足跡盤查與係數建立等計畫。","2","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","2000","業務費","2003","教育訓練費","用途別二級","100","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","2000","業務費","2006","水電費","用途別二級","2940","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","2000","業務費","2009","通訊費","用途別二級","128","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","2000","業務費","2021","其他業務租金","用途別二級","90","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","2000","業務費","2033","約用人員酬金","用途別二級","4840","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","2000","業務費","2051","物品","用途別二級","6454","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","2000","業務費","2054","一般事務費","用途別二級","477","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","2000","業務費","2069","設施及機械設備養護費","用途別二級","204","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","2000","業務費","2072","國內旅費","用途別二級","462","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","2000","業務費","2081","運費","用途別二級","15","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","3000","設備及投資","","","用途別一級","620","2.設備及投資620千元，係購置實驗研究監測技術及環控技術開發所需之設備。","3","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","3000","設備及投資","3020","機械設備費","用途別二級","150","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","3000","設備及投資","3030","資訊軟硬體設備費","用途別二級","170","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","11","作物栽培及採後處理技術研究","3000","設備及投資","3035","雜項設備費","用途別二級","300","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","12","農業技術服務","","","","","分支計畫","8109","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","12","農業技術服務","2000","業務費","","","用途別一級","5539","1.業務費5,539千元，係辦理蝴蝶蘭商業性狀與抗黃葉病之多體學資料整合與數位育種，設施花卉產銷智動化及數位服務系統開發，設施花卉產銷數位服務體系開發與應用，高效能源環控設施生產及數位分生技術應用交流等計畫。","2","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","12","農業技術服務","2000","業務費","2003","教育訓練費","用途別二級","403","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","12","農業技術服務","2000","業務費","2033","約用人員酬金","用途別二級","1150","","","","","","","","","","",""
