planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,headcount,nameMatched,sumMatched,inheritedSub,orphan,multiSum,inferred,ambiguous
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","2000","業務費","2018","資訊服務費","用途別二級","760","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","2000","業務費","2021","其他業務租金","用途別二級","320","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","2000","業務費","2030","兼職費","用途別二級","462","(3)辦理訴願業務等經費992千元，其中：<1>辦理訴願案件預審或專案審查所需稿費216元。<2>聘請訴願委員所需兼職費462千元。<3>訴願會委員出席會議之國內旅費90千元。<4>辦理訴願業務會議費用224千元。","16","","","true","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","(4)辦理法規審議、教師申訴、訴願審議與國家賠償業務相關行政事務及所需人力等經費9,048千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","2000","業務費","2033","約用人員酬金","用途別二級","37326","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","2000","業務費","2036","按日按件計資酬金","用途別二級","5780","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","2000","業務費","2039","委辦費","用途別二級","23532","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","2000","業務費","2051","物品","用途別二級","470","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","2000","業務費","2054","一般事務費","用途別二級","17990","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","2000","業務費","2072","國內旅費","用途別二級","3182","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","2000","業務費","2084","短程車資","用途別二級","190","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","3000","設備及投資","","","用途別一級","7002","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","3000","設備及投資","3030","資訊軟硬體設備費","用途別二級","750","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","3000","設備及投資","3045","投資","用途別二級","6252","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","4000","獎補助費","","","用途別一級","435645","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","4000","獎補助費","4025","政府機關間之補助","用途別二級","2227","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","4000","獎補助費","4030","對特種基金之補助","用途別二級","132158","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","4000","獎補助費","4040","對國內團體之捐助","用途別二級","2025","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","4000","獎補助費","4045","對私校之獎助","用途別二級","299235","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","分支計畫","102769","","","","","","","","","","",""
