planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,headcount,descIdx,nameMatched,multiSum,descShared,inferred,ambiguous,orphan,inheritedSub,comboMatched
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2036","按日按件計資酬金","用途別二級","4674","5.按日按件計資酬金編列4,674千元，內容如下：(1)邀請專家學者研討統計議題及總資源供需估測外部評估會議出席費28千元。(2)統計資料審查、譯稿及撰稿等費用10千元。(3)物價相關調查訪查費與審核費3,759千元；服務業營運及投資概況調查訪查費與審核費877千元，合計4,636千元。","","6","true","","","","","","true",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2039","委辦費","用途別二級","520","6.委外辦理每5年1次之「115年基期營造工程物價指數權數結構調查」母體資料蒐集及權數結構分析等，總經費2,200千元，本年度編列第1年經費520千元。","","9","","","","","","","",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2051","物品","用途別二級","156","7.物品156千元，內容如下：(1)文具紙張、辦公用品及電腦耗材等81千元。(2)購買辦公椅、桌邊櫃及計算機等75千元。","","10","true","","","","","","true",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2054","一般事務費","用途別二級","3042","8.國民所得統計年報、服務業營運及投資概況調查表件印刷費178千元；贈送物價調查紀念品1,177千元；物價統計月報等統計資料登錄、掃描、影印及裝訂費284千元；進用承攬人力支援服務業營運及投資概況調查570千元；物價基期年加細調查費828千元(每5年辦理1次)；服務業營運及投資概況調查勤前會議雜費等5千元，合計3,042千元。","","12","","","","","","","",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2072","國內旅費","用途別二級","394","9.派員赴各縣市督導物價查報、服務業營運及投資概況調查及訪問調查樣本廠商等國內旅費194千元，各縣市調查工作人員參加服務業營運及投資概況調查勤前會議國內旅費等200千元，合計394千元。","","13","true","","","","","","",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2078","國外旅費","用途別二級","81","10.參加亞洲開發銀行主辦之國際統計計畫相關會議81千元。","","14","","","","true","","","",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2081","運費","用途別二級","12","11.國民所得統計評審會等會議資料快遞運費12千元。","","15","true","","","","","","",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2084","短程車資","用途別二級","15","12.洽公短程車資15千元。","","16","true","","","","","","",""
"3203101300","綜合統計業務","27,082","03","辦理家庭收支統計","","","","","分支計畫","12639","","","","","","","","","","",""
"3203101300","綜合統計業務","27,082","03","辦理家庭收支統計","2000","業務費","","","用途別一級","12639","本分支計畫為辦理家庭收支統計經費，計編列業務費12,639千元，內容如下：","","0","true","","true","","","","",""
"3203101300","綜合統計業務","27,082","03","辦理家庭收支統計","2000","業務費","2003","教育訓練費","用途別二級","220","1.教育訓練費計編列220千元，內容如下：(1)現職人員進修與業務有關課程等相關費用之補助20千元。(2)各縣市調查工作人員參加講師、系統操作訓練200千元。","","1","true","","","","","","true",""
"3203101300","綜合統計業務","27,082","03","辦理家庭收支統計","2000","業務費","2009","通訊費","用途別二級","100","2.寄送家庭收支調查報告、資料複查表件等郵資及電話費100千元。","","3","","","","","","","",""
"3203101300","綜合統計業務","27,082","03","辦理家庭收支統計","2000","業務費","2018","資訊服務費","用途別二級","115","3.家庭收支調查系統、其他資訊設備及資訊技術維護費115千元。","","4","","","","","","","",""
"3203101300","綜合統計業務","27,082","03","辦理家庭收支統計","2000","業務費","2021","其他業務租金","用途別二級","50","4.公務所需影印機租金50千元。","","5","","","","true","","","",""
"3203101300","綜合統計業務","27,082","03","辦理家庭收支統計","2000","業務費","2036","按日按件計資酬金","用途別二級","6899","5.按日按件計資酬金計編列6,899千元，內容如下：(1)專家學者出席費10千元。(2)辦理家庭收支調查講習會講師鐘點費30千元。(3)家庭收支調查指導費160千元、訪查交通費2,550千元、審核費538千元、整理費73千元、記帳戶交通文具費2,196千元、資料登錄作業費1,342千元，合計6,859千元。","","6","true","","","","","","true",""
"3203101300","綜合統計業務","27,082","03","辦理家庭收支統計","2000","業務費","2051","物品","用途別二級","68","6.物品68千元，內容如下：(1)業務所需文具紙張、電腦消耗用品及業務參考書刊等50千元。(2)購買計算機、檯燈、桌邊櫃等辦公所需非消耗品等18千元。","","9","true","","","","","","true",""
